wheel_1_joint,wheel_2_joint,wheel_3_joint,wheel_4_joint,wheel_5_joint,wheel_6_joint,time
-2.6384724364176737,-2.638512645705618,-2.638985998947032,2.638890222787886,2.6392444976667533,2.638827645492402,9.420000000000002
-2.6384717441679935,-2.6384827883277344,-2.638678106698602,2.6388283542230933,2.6389790293915816,2.6385905953691764,9.440000000000005
-2.638084289310324,-2.6379033913738925,-2.6377958125405994,2.638445721545081,2.638296553383102,2.638463175552883,9.46
-2.6381774364737396,-2.637956777472851,-2.6376055890589334,2.6384381238499626,2.6377390006333075,2.638373545030698,9.480000000000004
,,,,,,9.5
-2.638764173276766,-2.639349234484226,-2.6404550159591738,2.638579875126386,2.6385038829577416,2.640215251755136,9.5
-2.6385698055015774,-2.6386584395120036,-2.6395659190218392,2.6384264386810083,2.6376366487531944,2.6404176775073753,9.520000000000003
-2.638650822896867,-2.6391351611780713,-2.6391457219057037,2.639155875602601,2.6396970341595525,2.638666146352756,9.54
-2.638029960859091,-2.638008300478833,-2.637678953725201,2.637874432248563,2.6380716601317062,2.6384209916638275,9.560000000000002
-2.638554714256502,-2.6386585278609758,-2.6388222415209706,2.6384694804333892,2.6382501286760127,2.6398298557220135,9.580000000000005
,,,,,,9.600000000000001
-2.638834950100558,-2.639262825767488,-2.639050008731969,2.638829194606248,2.639342141777428,2.6404970989528547,9.600000000000001
-2.638351464159855,-2.63850827736811,-2.638325682158162,2.63846751427397,2.63838472955853,2.638453227532219,9.620000000000005
-2.6385226540971223,-2.6386432435369382,-2.639874039729897,2.6384683923041345,2.6383048131696083,2.6398147023935703,9.64
-2.638493331724425,-2.6390265879243344,-2.638987006431863,2.6386407541081627,2.638777634221415,2.6403605835657578,9.660000000000004
-2.6384543141126313,-2.637983994912806,-2.6378491966146473,2.638430448743239,2.638429261715234,2.6378827566898115,9.68
,,,,,,9.700000000000003
-2.638747132645509,-2.638976919191866,-2.6389155269377125,2.638692218013945,2.63874065401967,2.6384119709733436,9.700000000000003
-2.638574457684894,-2.6387651817010265,-2.640017099557357,2.63878845642531,2.639187771199592,2.6401453360686675,9.719999999999999
-2.638535976183427,-2.6387258597974927,-2.6400118311178753,2.6384633056198,2.6382023505491934,2.6399289970468764,9.740000000000002
-2.6385110657993827,-2.639364970428319,-2.6408251429293363,2.6394109613243546,2.6396361956605947,2.6408006253146716,9.760000000000005
-2.638342347809147,-2.6379992092214892,-2.6386768914486383,2.6386235648618355,2.6377635507585873,2.6398932739586964,9.780000000000001
,,,,,,9.800000000000004
-2.6383046171730524,-2.6381204399014133,-2.638309031707319,2.638291884981714,2.6385658705816164,2.630925199850609,9.800000000000004
-2.6379728957389044,-2.63757043841142,-2.637567473369514,2.6386387678368672,2.6379329146157815,2.6382873263717905,9.82
-2.638516300560637,-2.6386840158665255,-2.640174687125707,2.6388500508250696,2.638020576906093,2.6396071090176143,9.840000000000003
-2.638734324508286,-2.6390714758933624,-2.6390102203912993,2.638467440868815,2.638623441275219,2.6236039050239772,9.86
-2.6383708295176294,-2.638262888438755,-2.6382408048363866,2.638468837583444,2.6384707717112734,2.63842880263972,9.880000000000003
,,,,,,9.900000000000006
-2.6386425451308675,-2.6387563528056335,-2.6397475990399855,2.6384384145638933,2.6385332622842363,2.6396318640013403,9.900000000000006
-2.6378858975251966,-2.6370205989247983,-2.6380246400367278,2.626835939089689,2.6375325708590616,2.638387014596169,9.920000000000002
-2.638452150118493,-2.6384408511709467,-2.638299559321034,2.6383431280545544,2.6383525951587727,2.6141482928494493,9.940000000000005
-2.638420304913173,-2.638432397580321,-2.6387463044422335,2.6375272240265977,2.6387338505860223,2.621116854563497,9.96
